ABSLGACODE,LGA,Year,Births,MedianAge,ISRDSCORE
20110,Alpine,2023,94,49,1028
20260,Ararat,2023,101,47,955
20570,Ballarat,2023,1242,39,986
20660,Banyule,2023,1262,40,1058
20740,Bass Coast,2023,344,52,993
20830,Baw Baw,2023,684,41,1003
20910,Bayside (Vic.),2023,714,46,1090
21010,Benalla,2023,112,51,968
21110,Boroondara,2023,1115,40,1090
21180,Brimbank,2023,2141,38,912
21270,Buloke,2023,50,53,975
21370,Campaspe,2023,372,47,965
21450,Cardinia,2023,1793,35,1021
21610,Casey,2023,5280,34,995
21670,Central Goldfields,2023,115,53,898
21750,Colac Otway,2023,227,45,973
21830,Corangamite,2023,169,48,985
21890,Darebin,2023,1514,37,1018
22110,East Gippsland,2023,406,52,963
22170,Frankston,2023,1673,39,1003
22250,Gannawarra,2023,104,52,952
22310,Glen Eira,2023,1364,38,1075
22410,Glenelg,2023,169,50,952
22490,Golden Plains,2023,263,40,1040
22620,Greater Bendigo,2023,1390,40,985
22670,Greater Dandenong,2023,1856,36,887
22750,Greater Geelong,2023,3242,39,1007
22830,Greater Shepparton,2023,830,40,944
22910,Hepburn,2023,122,53,1006
22980,Hindmarsh,2023,47,51,940
23110,Hobsons Bay,2023,999,40,1021
23190,Horsham,2023,217,41,990
23270,Hume,2023,3836,34,941
23350,Indigo,2023,169,48,1029
23430,Kingston (Vic.),2023,1535,41,1044
23670,Knox,2023,1484,41,1042
23810,Latrobe (Vic.),2023,887,42,931
23940,Loddon,2023,64,53,948
24130,Macedon Ranges,2023,475,44,1063
24210,Manningham,2023,907,43,1056
24250,Mansfield,2023,72,49,1028
24330,Maribyrnong,2023,988,35,1010
24410,Maroondah,2023,1177,40,1041
24600,Melbourne,2023,937,30,1017
24650,Melton,2023,3316,33,985
24700,Merri-bek,2023,2054,35,940
24780,Mildura,2023,700,40,1000
24850,Mitchell,2023,719,37,958
24900,Moira,2023,291,48,1042
24970,Monash,2023,1451,37,1041
25060,Moonee Valley,2023,1144,39,1017
25150,Moorabool,2023,454,40,1027
25340,Mornington Peninsula,2023,1284,49,1038
25430,Mount Alexander,2023,138,51,1007
25490,Moyne,2023,197,44,1029
25620,Murrindindi,2023,121,51,1005
25710,Nillumbik,2023,529,43,1093
25810,Northern Grampians,2023,112,49,951
25900,Port Phillip,2023,893,38,1061
25990,Pyrenees,2023,68,51,959
26080,Queenscliffe,2023,12,64,1082
26170,South Gippsland,2023,260,50,1003
26260,Southern Grampians,2023,172,47,994
26350,Stonnington,2023,866,36,1084
26430,Strathbogie,2023,90,54,982
26490,Surf Coast,2023,396,43,1086
26610,Swan Hill,2023,287,39,941
26670,Towong,2023,58,52,1001
29399,Unincorporated Vic,2023,3,33,988
26700,Wangaratta,2023,279,46,995
26730,Warrnambool,2023,363,42,973
26810,Wellington,2023,468,45,991
26890,West Wimmera,2023,42,50,1043
26980,Whitehorse,2023,1304,38,990
27070,Whittlesea,2023,3155,36,973
27170,Wodonga,2023,507,38,1006
27260,Wyndham,2023,5001,33,1046
27350,Yarra,2023,815,34,1041
27450,Yarra Ranges,2023,1744,40,946
27630,Yarriambiack,2023,54,53,1012
